label,epoch_s,peak_mb,cur_mb,amp
run_A_ep01,122.54,1018.0,1018.0,FP16(AMP)
run_A_ep02,120.73,1018.0,1018.0,FP16(AMP)
run_A_ep03,149.16,1052.0,1052.0,FP16(AMP)
run_A_ep04,140.54,1052.0,1052.0,FP16(AMP)
run_A_ep05,151.32,1052.0,1052.0,FP16(AMP)
run_A_ep06,153.36,1052.0,1052.0,FP16(AMP)
run_A_ep07,151.1,1052.0,1052.0,FP16(AMP)
run_A_ep08,150.56,1052.0,1052.0,FP16(AMP)
run_A_ep09,152.06,1052.0,1052.0,FP16(AMP)
run_A_ep10,150.85,1052.0,1052.0,FP16(AMP)
run_B_ep01,155.76,1028.0,1028.0,FP16(AMP)
run_B_ep02,156.35,1028.0,1028.0,FP16(AMP)
run_B_ep03,158.12,1062.0,1062.0,FP16(AMP)
run_B_ep04,150.72,1062.0,1062.0,FP16(AMP)
run_B_ep05,149.97,1062.0,1062.0,FP16(AMP)
run_B_ep06,150.48,1062.0,1062.0,FP16(AMP)
run_B_ep07,146.96,1062.0,1062.0,FP16(AMP)
run_B_ep08,144.38,1062.0,1062.0,FP16(AMP)
run_B_ep09,142.62,1062.0,1062.0,FP16(AMP)
run_B_ep10,142.87,1062.0,1062.0,FP16(AMP)
run_C_ep01,140.57,1240.0,1240.0,FP16(AMP)
run_C_ep02,142.57,1240.0,1240.0,FP16(AMP)
run_C_ep03,141.5,1274.0,1274.0,FP16(AMP)
run_C_ep04,142.1,1274.0,1274.0,FP16(AMP)
run_C_ep05,143.06,1274.0,1274.0,FP16(AMP)
run_C_ep06,144.17,1274.0,1274.0,FP16(AMP)
run_C_ep07,142.92,1274.0,1274.0,FP16(AMP)
run_C_ep08,120.94,1274.0,1274.0,FP16(AMP)
run_C_ep09,117.15,1274.0,1274.0,FP16(AMP)
run_C_ep10,115.37,1274.0,1274.0,FP16(AMP)
